,Country,Track Name,Artist Name,Album Name,Popularity,Date,Markets,Danceability,Acousticness,duration,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,TSignature,Positiveness
1646,DOM,VUELVE CANDY B,Bad Bunny,nadie sabe lo que va a pasar mañana,85,10/13/2023,AR,0.785,0.223,266171,0.691,1.74e-06,4,0.154,-3.119,0,0.0904,122.92,4,0.225
1647,DOM,BATICANO,Bad Bunny,nadie sabe lo que va a pasar mañana,85,10/13/2023,AR,0.785,0.455,256000,0.6,6.76e-06,3,0.131,-7.793,0,0.0656,105.009,4,0.431
1648,DOM,Que La Choque,Rochy RD,Que La Choque,50,10/1/2023,AR,0.71,0.207,125005,0.544,0,5,0.147,-6.55,1,0.298,119.285,4,0.912
1649,DOM,TATARA REMIX,Lomiiel,TATARA REMIX,53,9/13/2023,AR,0.632,0.455,154084,0.788,0.000294,9,0.503,-2.623,1,0.469,171.731,3,0.612
1650,DOM,Onana,Jey One,Onana,77,5/8/2023,AR,0.681,0.595,128571,0.719,0.00112,8,0.14,-5.428,0,0.455,148.931,5,0.802
1651,DOM,Seven (feat. Latto) (Explicit Ver.),Jung Kook,GOLDEN,83,11/3/2023,AR,0.79,0.312,183551,0.831,0,11,0.0797,-4.185,1,0.044,124.987,4,0.872
1652,DOM,X SI VOLVEMOS,KAROL G,MAÑANA SERÁ BONITO,84,2/24/2023,AR,0.794,0.334,200120,0.807,0,1,0.104,-3.447,0,0.326,178.003,4,0.575
1653,DOM,S91,KAROL G,MAÑANA SERÁ BONITO (BICHOTA SEASON),81,8/10/2023,AR,0.644,0.632,173005,0.711,1.91e-05,0,0.0898,-4.934,0,0.377,128.225,4,0.381
1654,LVA,Strangers,Kenya Grace,Strangers,98,9/1/2023,AR,0.628,0.701,172965,0.523,0.00274,11,0.219,-8.307,0,0.0946,169.982,4,0.416
1655,LVA,greedy,Tate McRae,greedy,100,9/15/2023,AR,0.75,0.256,131872,0.733,0,6,0.114,-3.18,0,0.0319,111.018,1,0.844
1656,LVA,Paint The Town Red,Doja Cat,Scarlet,89,9/20/2023,AR,0.864,0.255,230480,0.556,3.85e-06,2,0.112,-7.683,0,0.194,99.974,4,0.726
1657,LVA,IDGAF (feat. Yeat),Drake,For All The Dogs,94,10/6/2023,AR,0.663,0.0464,260111,0.67,8.92e-05,8,0.205,-8.399,1,0.271,136.952,4,0.138
1658,LVA,Daylight,David Kushner,Daylight,95,4/14/2023,AR,0.508,0.83,212954,0.43,0.000441,2,0.093,-9.475,0,0.0335,130.09,4,0.324
1659,LVA,fukumean,Gunna,a Gift & a Curse,95,6/16/2023,AR,0.847,0.119,125040,0.622,0,1,0.285,-6.747,0,0.0903,130.001,4,0.22
1660,LVA,My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,97,9/15/2023,AR,0.504,0.868,137773,0.308,0.135,9,0.158,-14.958,1,0.0321,113.95,4,0.121
1661,LVA,Standing Next to You,Jung Kook,GOLDEN,93,11/3/2023,AR,0.711,0.0447,206020,0.809,0,2,0.339,-4.389,0,0.0955,106.017,4,0.816
1662,LVA,Sweater Weather,The Neighbourhood,I Love You.,93,4/19/2013,AR,0.612,0.0495,240400,0.807,0.0177,10,0.101,-2.81,1,0.0336,124.053,4,0.398
1663,LVA,Haunted House,Aarne,AA LANGUAGE 2,68,10/27/2023,AR,0.905,0.0349,153600,0.726,0.00963,8,0.138,-4.096,0,0.0543,150.031,4,0.677
1664,LVA,ecstacy (slowed),SUICIDAL-IDOL,ecstacy (slowed),90,6/6/2023,AR,0.551,0.0173,119120,0.677,0,2,0.381,-7.311,1,0.0665,106.414,4,0.195
1665,LVA,No Role Modelz,J. Cole,2014 Forest Hills Drive,91,12/9/2014,AR,0.69,0.324,292799,0.521,0,10,0.0534,-8.492,0,0.339,100.028,4,0.494
1666,LVA,The Night We Met,Lord Huron,Strange Trails,83,4/7/2015,CA,0.545,0.969,208212,0.366,0.267,2,0.641,-9.51,1,0.0378,86.997,3,0.1
1667,LVA,I Wanna Be Yours,Arctic Monkeys,AM,95,9/9/2013,AR,0.464,0.136,183956,0.417,0.022,0,0.0974,-9.345,0,0.0256,67.528,4,0.479
